geography_type,geography_name,year,animal,count
Region,Waikato,1991,Beef cattle,763766
Region,Waikato,1992,Beef cattle,748040
Region,Waikato,1993,Beef cattle,854156
Region,Waikato,1994,Beef cattle,869939
Region,Waikato,1995,Beef cattle,864223
Region,Waikato,1996,Beef cattle,771586
Region,Waikato,1997,Beef cattle,NA
Region,Waikato,1998,Beef cattle,NA
Region,Waikato,1999,Beef cattle,679406
Region,Waikato,2000,Beef cattle,NA
Region,Waikato,2001,Beef cattle,NA
Region,Waikato,2002,Beef cattle,666884
Region,Waikato,2003,Beef cattle,696233
Region,Waikato,2004,Beef cattle,653108
Region,Waikato,2005,Beef cattle,676599
Region,Waikato,2006,Beef cattle,661261
Region,Waikato,2007,Beef cattle,676584
Region,Waikato,2008,Beef cattle,576461
Region,Waikato,2009,Beef cattle,598002
Region,Waikato,2010,Beef cattle,535350
Region,Waikato,2011,Beef cattle,515358
Region,Waikato,2012,Beef cattle,505869
Region,Waikato,2013,Beef cattle,501614
Region,Waikato,2014,Beef cattle,469331
Region,Waikato,2015,Beef cattle,463518
Region,Waikato,2016,Beef cattle,498662
Region,Waikato,2017,Beef cattle,488033
Region,Waikato,2018,Beef cattle,517191
Region,Waikato,2019,Beef cattle,546980
Region,Wellington,1990,Beef cattle,165443
Region,Wellington,1991,Beef cattle,173588
Region,Wellington,1992,Beef cattle,187491
Region,Wellington,1993,Beef cattle,196900
Region,Wellington,1994,Beef cattle,212679
Region,Wellington,1995,Beef cattle,218939
Region,Wellington,1996,Beef cattle,201807
Region,Wellington,1997,Beef cattle,NA
Region,Wellington,1998,Beef cattle,NA
Region,Wellington,1999,Beef cattle,181889
Region,Wellington,2000,Beef cattle,NA
Region,Wellington,2001,Beef cattle,NA
Region,Wellington,2002,Beef cattle,181320
Region,Wellington,2003,Beef cattle,176290
Region,Wellington,2004,Beef cattle,174206
Region,Wellington,2005,Beef cattle,171035
Region,Wellington,2006,Beef cattle,176204
Region,Wellington,2007,Beef cattle,155910
Region,Wellington,2008,Beef cattle,140381
Region,Wellington,2009,Beef cattle,146794
Region,Wellington,2010,Beef cattle,143398
Region,Wellington,2011,Beef cattle,150561
Region,Wellington,2012,Beef cattle,140420
Region,Wellington,2013,Beef cattle,131471
Region,Wellington,2014,Beef cattle,148369
Region,Wellington,2015,Beef cattle,121431
Region,Wellington,2016,Beef cattle,110801
Region,Wellington,2017,Beef cattle,134924
Region,Wellington,2018,Beef cattle,131828
Region,Wellington,2019,Beef cattle,149976
Region,West Coast,1990,Beef cattle,73491
Region,West Coast,1991,Beef cattle,72511
Region,West Coast,1992,Beef cattle,70030
Region,West Coast,1993,Beef cattle,70148
Region,West Coast,1994,Beef cattle,67733
Region,West Coast,1995,Beef cattle,65975
Region,West Coast,1996,Beef cattle,59931
Region,West Coast,1997,Beef cattle,NA
Region,West Coast,1998,Beef cattle,NA
Region,West Coast,1999,Beef cattle,52364
Region,West Coast,2000,Beef cattle,NA
Region,West Coast,2001,Beef cattle,NA
Region,West Coast,2002,Beef cattle,38908
Region,West Coast,2003,Beef cattle,36968
Region,West Coast,2004,Beef cattle,31274
Region,West Coast,2005,Beef cattle,32275
Region,West Coast,2006,Beef cattle,37097
Region,West Coast,2007,Beef cattle,30275
Region,West Coast,2008,Beef cattle,34713
Region,West Coast,2009,Beef cattle,35892
Region,West Coast,2010,Beef cattle,31816
Region,West Coast,2011,Beef cattle,29531
Region,West Coast,2012,Beef cattle,29002
Region,West Coast,2013,Beef cattle,26242
Region,West Coast,2014,Beef cattle,40777
Region,West Coast,2015,Beef cattle,36547
Region,West Coast,2016,Beef cattle,31902
Region,West Coast,2017,Beef cattle,27422
Region,West Coast,2018,Beef cattle,25376
Region,West Coast,2019,Beef cattle,31361
New Zealand,New Zealand,1971,Dairy cattle,3198000
New Zealand,New Zealand,1972,Dairy cattle,3288000
New Zealand,New Zealand,1973,Dairy cattle,3159000
New Zealand,New Zealand,1974,Dairy cattle,3074000
New Zealand,New Zealand,1975,Dairy cattle,2998000
New Zealand,New Zealand,1976,Dairy cattle,2930000
New Zealand,New Zealand,1977,Dairy cattle,2899000
New Zealand,New Zealand,1978,Dairy cattle,2910736
New Zealand,New Zealand,1979,Dairy cattle,2900089
New Zealand,New Zealand,1980,Dairy cattle,2968953
New Zealand,New Zealand,1981,Dairy cattle,2922049
New Zealand,New Zealand,1982,Dairy cattle,3006664
New Zealand,New Zealand,1983,Dairy cattle,3133923
New Zealand,New Zealand,1984,Dairy cattle,3245524
New Zealand,New Zealand,1985,Dairy cattle,3308030
New Zealand,New Zealand,1986,Dairy cattle,3398291
New Zealand,New Zealand,1987,Dairy cattle,3194780
New Zealand,New Zealand,1988,Dairy cattle,3199730
New Zealand,New Zealand,1989,Dairy cattle,3302377
